Country,Country_Code,FEC_Impl_Gap_Pct,GHG_Impl_Gap_Pct,RES_Impl_Gap_Pct,FEC_Households,FEC_Industry,FEC_Services,FEC_Transport,GHG_Agriculture,GHG_Buildings,GHG_Fuel_Exploitation,GHG_Industrial_Combustion,GHG_Power_Industry,GHG_Processes,GHG_Transport,GHG_Waste,RES_Electricity,RES_HeatingCooling,RES_Transport,Composite_Gap,GDP_per_capita,Population_mean
Greece,GR,4.114916666666667,45.874091666666665,-23.493583333333333,4115.597749999999,2736.079333333333,2031.2250000000001,5805.8964166666665,7.114484209421856,6.301917255546063,6.778025522006147,5.10697204072721,24.975195448262074,10.569477692588357,17.15167955650373,4.76953093067806,31.936750000000004,29.792833333333334,3.2366666666666664,0.23434166666666667,31807.333333333332,10703438.916666666
Hungary,HU,-1.6114833333333334,34.31624166666666,-15.256166666666667,5873.608333333334,4174.361083333333,2033.1836666666668,4550.712666666666,8.077804328840296,11.914327670455279,5.018872399441729,6.097622762659474,10.63436486325919,6.63491137548309,12.896446485059846,4.9779504363239715,11.568,20.361333333333334,7.734333333333335,0.6311666666666667,34522.98333333333,9717321.333333334
Ireland,IE,9.921358333333332,59.367333333333335,-31.22575,2815.370583333333,2155.5823333333333,1675.4426666666666,3950.763916666667,24.40681216661096,8.622999963913209,1.757446503852315,3.785006584780321,10.339768435613674,3.1750330827794127,11.37416850960736,1.9907850109336696,32.7535,6.3276666666666666,6.804666666666667,-0.5731666666666667,93648.55,4926469.0
Italy,IT,8.829566666666667,44.57708333333333,-21.03675,30921.30825,24475.88908333333,16655.193166666668,35547.64483333333,32.03826331572824,70.37520442773658,17.8065359818815,35.09376367368312,96.00733435352441,38.98039858392594,101.40634224658773,19.35714750692835,35.494499999999995,19.493250000000003,8.215000000000002,0.16056666666666666,46104.93333333333,59734515.0
Latvia,LV,10.982758333333335,-1.0724583333333333,-20.416333333333334,1165.105,846.0999999999999,579.30675,1034.5068333333334,3.3529586702480585,1.525569268421492,0.19828244110940196,0.7327707150635111,1.6109279809453227,1.1150191161614489,3.1023245510240467,0.6383176120028305,52.71316666666667,55.97958333333333,4.3479166666666655,0.9009999999999999,31677.091666666664,1934808.75
Lithuania,LT,16.415983333333333,7.724875,-27.856666666666666,1486.9718333333333,1024.9905,614.5551666666667,1964.6151666666667,6.004009277633112,1.5273834332638405,1.7179520202943357,1.2075422893855359,1.390068612022742,4.920401617204325,5.7222128856377745,1.278232681218231,22.34025,47.1865,5.414750000000001,0.36446666666666666,39026.200000000004,2866559.3333333335
Luxembourg,LU,19.622416666666666,39.010974999999995,-28.045916666666667,484.38116666666673,609.4822499999999,448.20866666666666,1858.3731666666665,0.6250208641708742,1.6005403834743195,0.025804125842381998,0.9086774578908643,0.3385046361173876,0.6279993745808634,5.426611597451989,0.12572008556575517,11.275916666666665,10.472333333333333,7.5752500000000005,-0.515775,122916.63333333335,606492.25
Malta,MT,-28.655183333333337,47.87636666666666,-15.100416666666666,96.87833333333333,59.52141666666666,119.2795,221.79891666666666,0.06960936886401299,0.14374293260014473,0.0022869758565650148,0.06642826579443623,0.9054461746630493,0.19526453537967758,0.6500535160009387,0.174270532111801,7.299416666666667,27.9965,7.960000000000001,0.6897333333333333,49433.775,485436.1666666667
Netherlands,NL,15.701691666666667,43.70231666666667,-28.641499999999997,9258.85625,13074.667000000001,6717.467833333333,9751.122666666668,18.604662843333212,29.82654497187423,14.690416633779996,21.8693669222347,49.48824475793857,14.387927889929701,28.023518981161473,4.39992926442689,23.90925,7.12275,9.686916666666667,-0.4085916666666667,62450.71666666667,17273852.166666668
Poland,PL,14.193758333333333,40.28310833333333,-15.578666666666665,20445.190666666665,15106.687166666668,7966.3029166666665,20860.15825,37.331250138609484,53.72832290179928,29.187535883345387,28.755174810719325,143.250164273716,29.083467676412578,59.636021135607784,6.96900743595399,16.735,18.632166666666667,5.767416666666667,0.07861666666666667,35162.816666666666,37604108.333333336
Portugal,PT,11.865841666666666,58.27245833333333,-19.15475,2876.2980000000002,4480.2077500000005,2272.2763333333332,5696.567500000001,7.113812706681501,4.315423185338782,2.9895587251783393,5.455253291428026,13.390654547766879,7.641633406503836,16.407499333140255,5.438108937017965,56.17966666666667,42.01841666666667,8.184916666666668,0.008224999999999998,36728.75833333333,10420221.5
Romania,RO,2.6285250000000002,1.49645,-13.726666666666667,7736.286833333333,6177.291000000001,1874.9104166666666,6417.247916666666,17.207542035284593,12.481658459004272,6.62924944377716,12.239910634736537,23.482912391690366,13.763171519760654,18.427874588759675,6.071094468961291,43.021166666666666,26.40108333333333,7.14075,1.073675,31940.458333333332,19487433.583333332
Slovakia,SK,12.284208333333334,23.885166666666667,-10.47175,2623.362333333333,3250.8413333333333,1302.2235833333332,2531.6219166666665,2.948673992964123,4.874101381098817,5.997602656745074,7.461117919780111,5.952833587910628,6.422416020547107,7.161999915931193,2.9789327468699853,22.605333333333334,14.632916666666667,8.211916666666667,0.5259916666666666,34810.275,5434306.0
Slovenia,SI,9.005341666666666,49.20115833333333,-9.621166666666667,1116.4224166666668,1226.9164999999998,449.7684166666667,1850.1883333333335,2.016111584678756,1.415611748666256,1.0019267728099197,1.716539906734962,4.483208586756234,2.0691547572357454,5.427364999901347,0.6113718886078742,35.1,34.157250000000005,6.263833333333334,0.4880083333333333,41007.53333333333,2084560.1666666667
Spain,ES,11.788525,58.233775,-28.822999999999997,14494.238750000002,20030.292416666663,10004.988833333333,30653.307750000004,42.94109550885287,32.38555446901987,21.9172829352265,31.094441587360624,57.53415455851513,29.757692511787337,88.70903785883972,14.816981446968716,42.67075,17.463333333333335,6.687583333333333,-0.37625,42395.058333333334,47076392.333333336
Sweden,SE,2.25315,39.026775,-9.717583333333334,7392.830000000001,10948.78075,4094.0158333333334,6969.104916666667,8.098634055170493,3.0113037187518263,3.724583126555789,7.465445060332228,7.034599184533651,6.079014776776517,16.580531818480683,3.6646776605654723,72.35341666666666,65.15441666666665,26.538249999999994,1.1140416666666668,56204.041666666664,10118472.333333334
